,Title,Link,Content
10,Transaction levels,"https://wiki.genexus.com//commwiki/wiki?42569,Transaction+levels","Suppose an application must take into account that countries contain a set of cities.
GeneXus provides an easy way to represent a reality such as this of countries and cities.
It can be implemented by adding a second level to the Country Transaction.
Being in the Country Transaction, while positioned on the last attribute, right-click and select Insert Level.

A sublevel is opened. You can call it: City.
Now, there are two possible ways to name the attributes on the 2nd level.
If you type a dot, you will see that GeneXus suggests “CountryCity” as a prefix, that is to say, the Transaction name + the 2nd level name. You would only have to complete it by adding Id at the end, and you would have the name CountryCityId.
If, on the other hand, you type inverted commas you will see that GeneXus suggests the prefix “City,” the 2nd level name. You would only have to complete it by adding Id at the end, and you would have the name CityId.

This two-level Transaction indicates that each country has several cities and that each city belongs to only one country.

When you save your Transaction structure, GeneXus defines (or change if it is necessary) the Web Form for this Transaction. As you can see, for each country now you can enter a group of cities.

For every two-level Transaction, GeneXus determines that it has to create two physical tables:
One table arises from the first level, in this case, to record the countries, with CountryId primary key.
And another physical table, associated with the second level, in this case, to record the cities in each country.

Note that GeneXus creates a table called Country and another table called CountryCity in the database. The second table name is taken from the Transaction name plus the name you gave to the second level.
Now, look at the primary key of the second table. It is composed of two attributes: CountryId and CityId. This means that the unique identifier of the cities is composed of both attributes.
Videos
Transactions with more than one level
"
11,Referential Integrity,"https://wiki.genexus.com//commwiki/wiki?42576,Referential+Integrity+controlled+automatically+by+the+applications+generated+by+GeneXus","The Transaction objects generated by GeneXus carry out Referential Integrity controls.
Suppose you define the following Transactions:
Country
{
   CountryId*
   CountryName
}

Customer
{
   CustomerId*
   CustomerName
   CountryId
   CountryName
}
In consequence, the following tables will be created in the database associated with the application:

COUNTRY (CountryId, CountryName)
Primary Key: CountryId
CUSTOMER (CustomerId, CustomerName, CustomerAddress, CustomerGender, CountryId)
Primary Key: CustomerId
Foreign Key: CountryId (COUNTRY)
The fact that the CountryId attribute in the CUSTOMER table is a foreign key concerning the COUNTRY table establishes a relationship between both tables.
You can see this relationship in this diagram:

The simple arrow means that in the table the arrow is pointing to there is an instance for every instance in the other table (this means that there is only one country for each customer).
The double arrow means that in the table it is pointing there are several instances for every instance in the other table (this means that there are several customers for each country).
The relation between the COUNTRY table and the CUSTOMER table is said to be 1 to N (1 to many).
Reciprocally, the relation between CUSTOMER and COUNTRY is N to 1 (many to 1).
In GeneXus terminology, we say that there is a subordinate relationship between both tables. We say that:
COUNTRY is superordinated to CUSTOMER
CUSTOMER is subordinated to COUNTRY
Meaning that:
When a record is created or modified in the subordinate table (CUSTOMER), there must be a related record in the superordinated table (COUNTRY).
When a record is deleted from the superordinated table (COUNTRY), there must be no related records in the subordinate table (CUSTOMER).
In other words:
When a record is inserted or modified in the CUSTOMER table, the value entered in the foreign key attribute (CountryId) must exist as the primary key value in a record of the COUNTRY table.
When a record is deleted from the COUNTRY table, there must be no records in the CUSTOMER table whose foreign key values (CountryId) are equal to the primary key value of the record you want to delete.


"
12,Web Form,"https://wiki.genexus.com//commwiki/wiki?8057,Transaction+Web+Layout","When defining a Transaction object, a default Layout is automatically created by GeneXus to specify the way the user will access data in web applications. This Layout may be modified.
The edited screen that is finally saved will be the screen that will always appear. Note that all attributes present in the Layout must be previously declared in the Transaction Structure.
Suppose the following Transaction structure:

The default Web Layout will be generated as follows:

See also
Transaction Structure
Structure Editor
Delete Cascade


"
13,Apply Defaults Option,"https://wiki.genexus.com//commwiki/wiki?13720,Apply+Defaults+Option+%28for+Win+and+Web+forms%29","<!<a href='CDATA[p {
	margin-top: 0;
}
tbody {
	vertical-align: top;
}
'>CDATA[p {
	margin-top: 0;
}
tbody {
	vertical-align: top;
}
</a>]>
It allows applying the default form to several transactions at once.
Upon choosing the right option (for Win or Web), the Select Object dialog window will be displayed for you to choose the transaction(s) to which you want to apply the default form.
This option is particulary useful for KBs originating in previous versions, whose interface is to be renewed. Note that the conversion process does not renew the forms to keep compatibility.

Scope
Objects:
Transaction object


Interface:
Web, Win
See Also
Dynamism between Transactions and Patterns
Apply Default menu option (for Win and Web Forms)



"
14,General concept,"https://wiki.genexus.com//commwiki/wiki?8213,Transaction+rules","Rules play a very important role in Transaction objects, as they allow you to program their behavior (for example: assigning default values, defining controls over the data, etc.).
They are written in a declarative way, which means the order in which they are written is not necessarily the order in which they will be executed.
All Transaction rules can involve attributes of the Base Tables associated with the Transaction and most rules can also involve attributes of the Extended Tables of such base tables, but they must be included in the Transaction's structure.
Rules may involve not only the attributes included in the Transaction's structure, but also variables defined within the object, constants, and functions.
They are local, so they're only valid within the Transaction in which they are defined.
Some valid rules for Transactions are:
Conditional Rules
Unconditional Rules


Msg
Default


Error
Accept


NoAccept
Parm


Assignment
Serial


Add
NoPrompt


Subtract
Prompt


Color
RefCall


Call method or rule
RefMsg


Submit
Equal


 
Error_Handler


 
Update
See Also
Transaction Rules Syntax
Videos
Rules definitions
"
15,Error,"https://wiki.genexus.com//commwiki/wiki?6852,Error+rule","Displays an error announcement and does not allow continuing with the execution while the condition is complied with.
Syntax
Error('announcement' | &var | character_expression [,ExceptionName]) [ IF condition ] [ON triggering event];
Where:
'announcement' (or &var or character_expression)
         Is the phrase (string) you want to display when the condition is complied with.
        When using a variable or character_expression, GeneXus controls the resulting type is character (if not, it is adviced in the navigation report).
ExceptionName
         If the transaction is configured as Business Component, the ExceptionName parameter can be set as the ID of the error to solve Error handling in Business Components
condition
         Is any valid logic condition
triggering event
         Is one of the predefined events available in GeneXus for transaction rules, which allows you to define the precise time for executing a rule
Scope
Objects: Transaction
Samples
Example 1
Customer                  
{                                   
    CustomerId*         
    CustomerName   
    CustomerLastName
    CustomerAddress
    CustomerPhone
    CustomerBirthDate      
}
Customer rules:
error('Enter the customer name please') if CustomerName.isempty();
error('Enter the customer last name please') if CustomerLastName.isempty();
error('The customer must be 18 years old or older') if CustomerBirthDate.age()<18;
error('Customers can not be deleted') if delete;
Example 2
Suppose the Customer transaction is configured as Business Component and the transaction has the following rule defined:
error('The customer must be 18 years old or older', 'CustomerMustBe18YearsOld') if CustomerBirthDate.age()<18;
The value referenced in the ExceptionName parameter will be charged in the &Messages collection variable based on the Messages SDT (in the ""ID"" property) which you can load using the GetMessages() method.
Example code:
&CustomerBc is a Customer variable

&CustomerBc.save()
If &CustomerBc.Fail()
   &Messages = &CutomerBc.GetMessages()
    If &Messages.Item(1).ID = 'CustomerMustBe18YearsOld'
        .......
The ExceptionName parameter is an identifier, so it does not accept neither spaces, special characters: / : ” | = < > | nor Functions.
If the syntax is not correct, GeneXus will display the following compilation error:
xxx.cs(yy,yy): error CS0103: the name 'pushError' does not exist in the actual context.
Example 3
Working with the same Customer transaction, the following rule can be defined:
Error(&ReturnedText) if ProcedureCheck(&ReturnedText);
The previous definition is valid, but you must take into account that the variable &ReturnedText is considered a procedure input parameter. So, the rule will only be triggered if the variable is assigned (for example, if it is an output variable in another rule).
Note: When deleting a record from a Transaction, the rules won't execute unless you specify the condition ""if delete"".
See Also
Transaction rules
"
16,Msg,"https://wiki.genexus.com//commwiki/wiki?6854,Msg+rule","Displays a message as a notice or warning, but it doesn't prevent you from continuing working.
Syntax
Msg('message' | &var | character_expression [,ExceptionName]) [ IF condition ] [ON triggering event];
Where:
'message' (or &var or character_expression)
         Is the phrase (string) you want to display when the condition is complied with.
         When using a variable or character_expression, GeneXus controls the resulting type is character (if not, it is adviced in the navigation report).
ExceptionName
         If the transaction is configured as Business Component, the ExceptionName parameter can be set as the ID of the message to solve Error handling in Business Components
condition
         Is any valid logic condition
triggering event
         Is one of the predefined events available in GeneXus for transaction rules, which allows you to define the precise time for executing a rule
Scope
Objects: Transaction
Description
This rule is used to display a message as a notice or warning, with the possibility to continue working if the condition is complied with. In other words, it does not stop the process as it happens with the Error rule.
Samples
Example 1
Customer                    
{                                     
    CustomerId*           
    CustomerName     
    CustomerLastName 
    CustomerAddress
    CustomerPhone        
}
Customer Rules:
msg('The address is empty') if CustomerAddress.isempty();
msg('The phone is empty') if CustomerPhone.isempty();
error('Enter the customer name please') if CustomerName.isempty();
error('Enter the customer last name please') if CustomerLastName.isempty();
Example 2
Suppose the Customer transaction is set as Business Component and the transaction has the following rule defined:
msg('The phone is empty',CustomerPhoneIsEmpty) if CustomerPhone.isempty();
The value referenced in the ExceptionName parameter will be charged in the &Messages collection variable based on the Messages SDT (in the ""ID"" property) which you can load using the GetMessages() method.
Example code:
&CustomerBc is a Customer variable

&CustomerBc.save()
If &CustomerBc.Fail()
   &Messages = &CutomerBc.GetMessages()
    If &Messages.Item(1).ID = CustomerPhoneIsEmpty
       .......
The ExceptionName parameter is an identifier, so it does not accept neither spaces, special characters: / : ” | = < > | nor Functions.
If the syntax is not correct, GeneXus will show the following compilation error:
xxx.cs(yy,yy): error CS0103: the name 'pushError' does not exist in the actual context.
See Also
Message command
Transaction rules





"
17,Default,"https://wiki.genexus.com//commwiki/wiki?6850,Default+rule","Assigns a default value to an attribute or variable.
Syntax
Default(att | &var, expression);
Where:
att | &var
    Is the attribute or variable to be assigned.
expression
    Is any valid expression that can involve a procedure, function, method, constants, variables or other attributes (the result must match the attribute or variable type definition).
Scope
Objects: Transaction, Procedure, Web Panel
Description.
This rule is mostly used to initialize an attribute with a certain value, which can be modified, in a  Transaction object. Here, the rule is triggered only when the transaction is executed in Insert mode. When the transaction is executed in other modes like Update, Delete or Display, the attribute already has a stored value, and the objective of this rule is not to rewrite it.
Although this rule can be used in other objects with the same objective, its use is unusual because depending on the object, the variables may be initialized in different sections, like an event, source, etc.
Samples
Example 1
Customer
{
  CustomerId*      
  CustomerName         
  CustomerAddress      
  CustomerPhone   
  CustomerAddedDate 
  CustomerState
}
Customer Rule:
Default(CustomerAddedDate,today());
Note:
The behavior provided by the Default rule proposed in the example, is exactly the same as the behavior provided by the following rule:
CustomerAddedDate=today() if insert;
Example 2
The following example shows a rule defined in the Customer transaction, that uses the Previous function, to initialize the CustomerState attribute for a new customer which is being inserted (with the value of the previous customer).
Default(CustomerState,Previous());
In other GeneXus objects (like procedures or web panels), the Default rule can only be defined to initialize variables, and they will be triggered at the beginning of program execution. The expression in these cases, only allows 'literals' between quotes, numbers, and the following functions: Today(), Date() and Sysdate(). An example is shown next:
Default(&FirstCustomerId, 1);
Default(&LastCustomerId, 999);








"
18,NoAccept,"https://wiki.genexus.com//commwiki/wiki?6856,NoAccept+rule","Prevents the value of a field from being changed by end-user interaction. In most environments, this means the field is disabled (no end-user input is allowed) when the condition (if any) applies.
If user input cannot be disabled (Business Component, iSeries, for example), the input value is ignored.
Syntax
NoAccept(att | &var) [ IF condition ][ ON triggering event] ;
Where:
att | &var
   In Web Panel objects and Panel objects only variables are editable. So, in those objects, this rule can be used for variables. In Transaction objects, attributes are editable. So, mostly this rule is used for attributes. Variables are accepted in Transaction if you define Accept rules.
condition
   Is the condition that must be met to trigger the rule.
triggering event
   See Triggering events for rules in Transactions.
Scope
Objects:
Transaction
Web Panel
Panel
Work Panel

Generators:
.NET
.NET Framework
Java
Description
The NoAccept rule doesn´t allow the end-user to change the value of a field. In most Environments, this means that the field is disabled (no end-user input is allowed) when the condition (if any) applies. If user input cannot be disabled (Business Component, iSeries, for example), then that input value is ignored.
GeneXus evaluates which Attributes/Variables are used for input/output. However, there are times when you do not want the end-user to enter data for what GeneXus considers to be an input Attribute/Variable. This rule enables you to define which will not be used as input fields. The rule may also be used in combination with conditions.
All variables that appear in a Web Panel object or Panel object are always by default input variables (i.e. they accept input) unless a NoAccept rule has been defined for it. Hence, this rule indicates that the variable must not be accepted.
When you declare this rule, you will be able to assign a value for the attribute or variable with another rule.
Samples
NoAccept(ProductDescription);                             // Unconditional NoAccept
NoAccept(CustomerCreditLimit) if CustomerCategoryId = 1;  // Conditional NoAccept
Notes:
&var could be an SDT variable and in this case just writing NoAccept(&var) is enough to disable all the SDT elements.
Conditional Noaccept: You must be able to evaluate the condition before the attribute/variable in the NoAccept rule is entered. That is, the attributes/variables involved in the condition must have a value before the rule is triggered. Conditional NoAccept is only valid for Transactions.
NoAccept rule over Primary Keys does not apply to Business Components methods (Load, Insert, Update, InsertOrUpdate).
The NoAccept rule is expanded at specification time as {att|&var}.Enabled = 0 assignment for the No Accept condition and {att|&var}.Enabled = 1 for the otherwise section.
If you take the conditional rule of the previous example, you will see in the following code the Navigation view of the object:
One condition:
Rule:
NoAccept(CustomerCreditLimit) if CustomerCategoryId = 1;
Navigation View:
CustomerCreditLimit.Enabled = 0 If CustomerCategoryId = 1; 1 OTHERWISE;

More than one condition:
Rule:
NoAccept(CustomerDiscount) if CustomerDate > Today() and CustomerActive = false and CustomerAmount = 0;
Navigation View:
CustomerDiscount. Enabled = 0 IF CustomerDate > today() and CustomerActive = FALSE and CustomerAmount = 0; 1 OTHERWISE;
This means that the rule will disable the CustomerDiscount attribute only if the value of the attribute CustomerDate is < Today() and the value of the attribute CustomerActive = false and the value of the attribute CustomerAmount = 0, otherwise it will remain enabled.
If you have different conditionals NoAccept, you must be careful with the conditions defined in each one, as they can cause conflicts between them.
See Also
Enabled property

"
19,Serial,"https://wiki.genexus.com//commwiki/wiki?6866,Serial+rule","Numbers a Transaction object’s second, third, or another nested level, automatically.
Syntax
Serial(att1 , att2 , step);

Where:

att1
     Is the attribute to be increased.

att2
     Marks the starting value for att1 and is always updated with the last value of att2. This attribute must be included in the structure level that is immediately above the attribute you wish to autonumber. You can delete att2 from the form, but the attribute att1 is required to be on the web form, otherwise the rule will not work on the client-side.
step
     Is the value to add to each att1. In other words, is the serialization step or increment.
Description
You need to use this rule to automatically number a second, third, or another nested level, as the Autonumber property can only be applied to single primary keys.
This rule requires defining an attribute in the first level of the Transaction, which will save the last value assigned to the lines of the second level.
Samples








"
